LATITUDE,LONGITUDE,FIRE_SIZE,date
35.095,-111.67333333,0.1,04-2007
35.10333333,-111.59527778,0.1,04-2007
37.14027778,-84.24111111,120.0,05-2007
43.37083333,-85.75972222,1.0,05-2007
45.46555556,-110.94611111,0.01,05-2007
32.70111111,-105.54138889,1.0,05-2007
43.8075,-85.8325,0.25,03-2007
44.40555556,-83.3425,0.12,04-2007
44.42277778,-83.42694444,17.0,04-2007
44.19,-83.81138889,0.5,04-2007
44.55805556,-83.76611111,0.12,04-2007
44.45111111,-83.83944444,0.5,04-2007
37.77,-79.96055556,1070.0,04-2007
35.03,-83.53805556,15.0,04-2007
35.08472222,-83.99888889,80.0,04-2007
48.38777778,-115.44944444,0.1,05-2007
41.05138889,-122.35083333,2.0,05-2007
46.0825,-112.09611111,0.1,05-2007
33.95805556,-111.40027778,0.5,05-2007
35.02,-83.63111111,64.0,04-2007
35.00583333,-83.66444444,3.0,04-2007
35.14611111,-84.0375,27.0,05-2007
35.06416667,-83.91611111,6.0,05-2007
34.57166667,-85.06583333,101.0,05-2007
32.95888889,-79.77444444,0.1,04-2007
33.60527778,-108.70805556,0.6,05-2007
43.895,-85.78472222,0.1,05-2007
47.98027778,-91.43361111,0.5,05-2007
