cause,count,date
Campfire,77,12-2007
Campfire,85,01-2008
Campfire,114,02-2008
Campfire,237,03-2008
Campfire,419,04-2008
Campfire,343,05-2008
Campfire,329,06-2008
Campfire,418,07-2008
Campfire,440,08-2008
Campfire,375,09-2008
Campfire,307,10-2008
Campfire,196,11-2008
Campfire,73,12-2008
Campfire,128,01-2009
Campfire,208,02-2009
Campfire,382,03-2009
Campfire,369,04-2009
Campfire,321,05-2009
Campfire,225,06-2009
Campfire,493,07-2009
Campfire,441,08-2009
Campfire,338,09-2009
Campfire,204,10-2009
Campfire,162,11-2009
Campfire,43,12-2009
Campfire,53,01-2010
Campfire,56,02-2010
Campfire,307,03-2010
Campfire,421,04-2010
Campfire,270,05-2010
Campfire,252,06-2010
Campfire,494,07-2010
Campfire,506,08-2010
Campfire,408,09-2010
Campfire,461,10-2010
Campfire,207,11-2010
Campfire,150,12-2010
Campfire,123,01-2011
Campfire,221,02-2011
Campfire,201,03-2011
Campfire,203,04-2011
Campfire,269,05-2011
Campfire,263,06-2011
Campfire,427,07-2011
Campfire,494,08-2011
Campfire,393,09-2011
Campfire,205,10-2011
Campfire,151,11-2011
Campfire,65,12-2011
Campfire,123,01-2012
Campfire,96,02-2012
Campfire,286,03-2012
Campfire,393,04-2012
Campfire,319,05-2012
Campfire,334,06-2012
Campfire,386,07-2012
Campfire,441,08-2012
Campfire,474,09-2012
Campfire,293,10-2012
Campfire,263,11-2012
Campfire,63,12-2012
Campfire,79,01-2013
Campfire,99,02-2013
Campfire,276,03-2013
Campfire,328,04-2013
Campfire,369,05-2013
Campfire,260,06-2013
Campfire,389,07-2013
Campfire,402,08-2013
Campfire,216,09-2013
Campfire,165,10-2013
Campfire,164,11-2013
Campfire,49,12-2013
Campfire,392,01-2014
Campfire,233,02-2014
Campfire,539,03-2014
Campfire,432,04-2014
Campfire,310,05-2014
Campfire,272,06-2014
Campfire,394,07-2014
Campfire,309,08-2014
Campfire,286,09-2014
Campfire,271,10-2014
Campfire,279,11-2014
Campfire,84,12-2014
Campfire,223,01-2015
Campfire,371,02-2015
Campfire,256,03-2015
Campfire,453,04-2015
Campfire,601,05-2015
Campfire,325,06-2015
Campfire,378,07-2015
Campfire,364,08-2015
Campfire,341,09-2015
Campfire,264,10-2015
Campfire,119,11-2015
Campfire,36,12-2015
